t1_ph,t2_ph,phone,fname,dur_ph,Participant,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph
0.0,0.71,sil,textgrids/cbas/p112.TextGrid,0.71,p112,0.0,0.71,,True,True,,b
0.71,0.82,b,textgrids/cbas/p112.TextGrid,0.10999999999999999,p112,0.71,1.14,bajo,True,False,sil,a
0.82,0.92,a,textgrids/cbas/p112.TextGrid,0.10000000000000009,p112,0.71,1.14,bajo,False,False,b,x
0.92,1.0,x,textgrids/cbas/p112.TextGrid,0.07999999999999996,p112,0.71,1.14,bajo,False,False,a,o
1.0,1.14,o,textgrids/cbas/p112.TextGrid,0.1399999999999999,p112,0.71,1.14,bajo,False,True,x,sp
1.14,2.966,sp,textgrids/cbas/p112.TextGrid,1.8260000000000003,p112,1.14,2.966,,True,True,o,T
2.966,3.036,T,textgrids/cbas/p112.TextGrid,0.06999999999999984,p112,2.966,3.416,zombi,True,False,sp,o
3.036,3.146,o,textgrids/cbas/p112.TextGrid,0.10999999999999988,p112,2.966,3.416,zombi,False,False,T,m
3.146,3.216,m,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,2.966,3.416,zombi,False,False,o,b
3.216,3.266,b,textgrids/cbas/p112.TextGrid,0.04999999999999982,p112,2.966,3.416,zombi,False,False,m,i
3.266,3.416,i,textgrids/cbas/p112.TextGrid,0.1499999999999999,p112,2.966,3.416,zombi,False,True,b,sp
3.416,4.811,sp,textgrids/cbas/p112.TextGrid,1.395,p112,3.416,4.811,,True,True,i,b
4.811,4.931,b,textgrids/cbas/p112.TextGrid,0.1200000000000001,p112,4.811,5.401,básico,True,False,sp,a+
4.931,5.001,a+,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,4.811,5.401,básico,False,False,b,s
5.001,5.101,s,textgrids/cbas/p112.TextGrid,0.09999999999999964,p112,4.811,5.401,básico,False,False,a+,i
5.101,5.191,i,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,4.811,5.401,básico,False,False,s,k
5.191,5.271,k,textgrids/cbas/p112.TextGrid,0.08000000000000007,p112,4.811,5.401,básico,False,False,i,o
5.271,5.401,o,textgrids/cbas/p112.TextGrid,0.1299999999999999,p112,4.811,5.401,básico,False,True,k,sp
5.401,7.058,sp,textgrids/cbas/p112.TextGrid,1.657,p112,5.401,7.058,,True,True,o,l
7.058,7.148,l,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,7.058,7.658,límite,True,False,sp,i+
7.148,7.208,i+,textgrids/cbas/p112.TextGrid,0.0600000000000005,p112,7.058,7.658,límite,False,False,l,m
7.208,7.308,m,textgrids/cbas/p112.TextGrid,0.09999999999999964,p112,7.058,7.658,límite,False,False,i+,i
7.308,7.368,i,textgrids/cbas/p112.TextGrid,0.0600000000000005,p112,7.058,7.658,límite,False,False,m,t
7.368,7.468,t,textgrids/cbas/p112.TextGrid,0.09999999999999964,p112,7.058,7.658,límite,False,False,i,e
7.468,7.658,e,textgrids/cbas/p112.TextGrid,0.1900000000000004,p112,7.058,7.658,límite,False,True,t,sp
7.658,9.436,sp,textgrids/cbas/p112.TextGrid,1.7779999999999996,p112,7.658,9.436,,True,True,e,b
9.436,9.556,b,textgrids/cbas/p112.TextGrid,0.11999999999999922,p112,9.436,10.246,bacterias,True,False,sp,a
9.556,9.616,a,textgrids/cbas/p112.TextGrid,0.0600000000000005,p112,9.436,10.246,bacterias,False,False,b,k
9.616,9.696,k,textgrids/cbas/p112.TextGrid,0.08000000000000007,p112,9.436,10.246,bacterias,False,False,a,t
9.696,9.746,t,textgrids/cbas/p112.TextGrid,0.05000000000000071,p112,9.436,10.246,bacterias,False,False,k,e
9.746,9.816,e,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,9.436,10.246,bacterias,False,False,t,rf
9.816,9.896,rf,textgrids/cbas/p112.TextGrid,0.08000000000000007,p112,9.436,10.246,bacterias,False,False,e,j
9.896,9.976,j,textgrids/cbas/p112.TextGrid,0.08000000000000007,p112,9.436,10.246,bacterias,False,False,rf,a
9.976,10.036,a,textgrids/cbas/p112.TextGrid,0.05999999999999872,p112,9.436,10.246,bacterias,False,False,j,s
