Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph
p112,a,695.7909759669969,1139.95328248074,2667.2586210225536,689.324612028631,840.1831743428019,2738.685252086265,672.6653606345087,1108.588352717775,2626.355792716974,Male,CBAS,0.82,0.92,textgrids/cbas/p112.TextGrid,0.10000000000000009,0.71,1.14,bajo,False,False,b,x
p112,o,423.620505429537,737.5025574190374,2374.9749209386277,438.92995044479164,803.8233663823389,2369.001274201321,442.3145365031469,785.3569134548407,2490.7186602443053,Male,CBAS,1.0,1.14,textgrids/cbas/p112.TextGrid,0.1399999999999999,0.71,1.14,bajo,False,True,x,sp
p112,o,445.80570874597913,917.2163210409033,2507.7302796726353,436.3405528428289,1010.369865646534,2699.042949727488,364.45846926552,830.6578033827965,2541.123390335036,Male,CBAS,3.036,3.146,textgrids/cbas/p112.TextGrid,0.10999999999999988,2.966,3.416,zombi,False,False,T,m
p112,i,299.43565884811784,2081.124207258276,2566.5616210317608,311.09728166665013,2053.111868569868,2770.196303314491,263.7902181928627,1054.3795060874293,2468.522912516438,Male,CBAS,3.266,3.416,textgrids/cbas/p112.TextGrid,0.1499999999999999,2.966,3.416,zombi,False,True,b,sp
p112,i,420.8640731296791,2097.0380339634603,2663.6007385946705,387.56050288356477,2010.1162772977875,2511.4303060594784,372.81718196556113,2205.6814840413463,3457.2646616142506,Male,CBAS,5.101,5.191,textgrids/cbas/p112.TextGrid,0.08999999999999986,4.811,5.401,básico,False,False,s,k
p112,o,403.6857809220395,854.0182817884213,2333.150974291553,386.9401417291598,852.9347852703889,2215.48080844478,228.81455225832985,854.1421451839326,2708.137739040021,Male,CBAS,5.271,5.401,textgrids/cbas/p112.TextGrid,0.1299999999999999,4.811,5.401,básico,False,True,k,sp
p112,i,338.41844683817766,2399.166254529117,2748.318540919679,343.96636834117004,2094.7243767315013,2812.6637874089656,319.305526616548,2208.4790916042543,3040.3832281288896,Male,CBAS,7.308,7.368,textgrids/cbas/p112.TextGrid,0.0600000000000005,7.058,7.658,límite,False,False,m,t
p112,e,196.8868758107898,1236.156268827064,1900.242228191227,369.9214803414103,1794.8124687823126,2255.0805664163704,795.3290425161853,1995.5461613611224,2972.6622174238482,Male,CBAS,7.468,7.658,textgrids/cbas/p112.TextGrid,0.1900000000000004,7.058,7.658,límite,False,True,t,sp
p112,a,443.06288519660467,1309.1683970495296,2011.3336399950897,520.9268992719003,1104.6693999456577,2083.767348651404,419.26171173146486,1494.0789729677415,1815.9714308179568,Male,CBAS,9.556,9.616,textgrids/cbas/p112.TextGrid,0.0600000000000005,9.436,10.246,bacterias,False,False,b,k
p112,e,431.3549046351522,1776.5938997070284,2203.349970353494,417.4960804979607,1667.9733946356725,2191.963711174677,443.64405326190786,1828.344432531072,2205.935941167247,Male,CBAS,9.746,9.816,textgrids/cbas/p112.TextGrid,0.07000000000000028,9.436,10.246,bacterias,False,False,t,rf
p112,a,478.5550241010074,1666.1976904533105,2364.429451638522,448.3293545498495,1780.1516705287304,2379.82977577845,479.31823197113806,1623.2356145141541,2359.9488746854345,Male,CBAS,9.976,10.036,textgrids/cbas/p112.TextGrid,0.05999999999999872,9.436,10.246,bacterias,False,False,j,s
p112,o,371.02794500433197,757.3895542719632,2075.291126740421,359.32484674132013,743.6894472252156,1997.7238930685166,410.7210981282193,895.1687049110054,2229.00508440181,Male,CBAS,11.884,11.984,textgrids/cbas/p112.TextGrid,0.09999999999999964,11.604,12.104,árbol,False,False,b,l
p112,a,585.3484001847239,1228.0373952920215,2661.984488091103,568.0247017247883,1270.5646152310972,2630.8297849998607,583.1799408320558,1281.4149236499754,2847.046821794662,Male,CBAS,13.701,13.741,textgrids/cbas/p112.TextGrid,0.03999999999999915,13.621,13.851,las,False,False,l,s
p112,a,670.2027946962593,1274.9637762477714,2512.335538365797,466.96024915993837,881.8381577729657,2259.366630886524,673.582029386045,1268.173802544189,2677.870754896452,Male,CBAS,13.851,13.901,textgrids/cbas/p112.TextGrid,0.049999999999998934,13.851,14.441,amigas,True,False,s,m
p112,i,364.6885256816906,731.8936044877458,2615.424544715664,366.3481223927394,2483.7289675503703,2874.947272057368,356.47306998916537,2519.2658303905696,3512.933106519609,Male,CBAS,13.991,14.081,textgrids/cbas/p112.TextGrid,0.08999999999999986,13.851,14.441,amigas,False,False,m,G
p112,a,478.6567905559377,1578.3606835980047,2307.3584636113765,475.0403538783967,1629.0551541816462,2337.642385561276,482.84081068867005,1559.6386921567364,2324.7274816523222,Male,CBAS,14.171,14.221,textgrids/cbas/p112.TextGrid,0.05000000000000071,13.851,14.441,amigas,False,False,G,s
p112,e,406.35812401209535,2025.4312290483153,2584.8914372563545,427.19592221663976,542.5569813187938,2263.9409599167634,405.79429793854797,1981.350908818766,2441.923003733092,Male,CBAS,16.12,16.27,textgrids/cbas/p112.TextGrid,0.14999999999999858,15.99,16.51,vez,False,False,b,s
