Participant,Vowel,F1 (Hz),F2 (Hz),F3 (Hz),t1_ph,t2_ph,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,Gender
p113,a,847.425364743598,1467.4755634059588,2678.720233387668,0.746,0.856,0.11,0.5660000000000001,1.0859999999999999,bajo,False,False,b,x,Female
p113,a,837.0404525585052,1541.1402207767444,2632.325337851857,6.234,6.334,0.09999999999999963,6.124,6.803999999999999,básico,False,False,b,s,Female
p113,a,801.9779405479946,1878.5773332658425,2766.545397959333,11.100999999999999,11.251,0.14999999999999858,10.640999999999998,11.321,bacterias,False,False,j,s,Female
p113,a,742.800861203642,1851.096177863113,2700.292082271505,15.720999999999998,15.770999999999999,0.05000000000000071,15.690999999999999,15.841,las,False,False,l,s,Female
p113,a,705.3883001373523,1739.0199459776536,2699.1642754253944,15.841,15.911,0.07000000000000027,15.841,16.361,amigas,True,False,s,m,Female
p113,a,666.1067307338808,1737.7924459390515,2531.9471878283184,16.191,16.301,0.10999999999999943,15.841,16.361,amigas,False,False,G,s,Female
p113,a,810.8970632467758,1701.4861689686927,2896.87796289395,20.083,20.183,0.10000000000000142,19.973,20.563000000000002,valor,False,False,b,l,Female
p113,a,768.6739897784918,1694.2356791391778,2664.3871432934106,28.41,28.49,0.0799999999999983,28.3,29.07,zanahoria,False,False,s,n,Female
p113,a,792.7664531136099,1779.6573387511874,2589.1372444228714,34.597,34.647,0.049999999999997165,34.567,35.277,valuación,False,False,b,l,Female
p113,a,712.1657232939386,1712.5968953339254,2777.2385750177336,34.797,34.857,0.060000000000002274,34.567,35.277,valuación,False,False,w,T,Female
p113,a,725.7296477800725,1823.2474169002546,2156.8598930376347,37.514,37.594,0.0799999999999983,37.484,37.834,cajas,False,False,k,x,Female
p113,a,866.7769279020778,1756.721491796422,2607.8778910241463,37.674,37.764,0.09000000000000341,37.484,37.834,cajas,False,False,x,s,Female
p113,a,750.0312351889485,1631.4575722514276,2775.2684208288542,37.834,37.884,0.049999999999997165,37.834,38.534,amarillas,True,False,s,m,Female
p113,a,755.4941328989856,1684.2012664329975,2747.365334963829,37.984,38.044000000000004,0.059999999999995175,37.834,38.534,amarillas,False,False,m,rf,Female
p113,a,801.0931322807531,1841.836600489252,2584.2051665227273,38.244,38.374,0.13000000000000256,37.834,38.534,amarillas,False,False,L,s,Female
p113,a,761.6575317532637,1619.5176297370417,2488.027375523989,44.707,44.806999999999995,0.10000000000000142,44.667,45.336999999999996,carbono,False,False,k,rf,Female
p113,a,767.6604656801272,1635.8593729834577,2446.677199129309,54.056000000000004,54.236000000000004,0.17999999999999972,53.466,54.356,pulverizar,False,False,T,rf,Female
p113,a,767.6677343236646,1637.8414838561325,1868.3842851388647,56.177,56.257,0.0799999999999983,56.086999999999996,56.777,paqueta,False,False,p,k,Female
p113,a,669.3005209414314,1690.0317097584912,2492.1776789368187,56.607,56.777,0.1700000000000017,56.086999999999996,56.777,paqueta,False,True,t,sp,Female
p113,a,752.6602190309717,1557.8956030411227,2562.8938668776354,58.273,58.303000000000004,0.02999999999999403,58.273,58.573,hablas,True,False,,b,Female
p113,a,744.9249234340216,1879.2788908378545,2898.971431891442,58.423,58.493,0.07000000000000027,58.273,58.573,hablas,False,False,l,s,Female
p113,a,706.9684552117703,1858.0060295773928,2831.551853288309,58.573,58.633,0.060000000000002274,58.573,59.043,aquí,True,False,s,k,Female
p113,a,757.4257393081429,1605.9295278529626,2597.94592267216,60.58,60.64,0.060000000000002274,60.49,61.35,vacaciones,False,False,b,k,Female
p113,a,814.6796086065981,1598.3081455488668,2723.7587247140264,63.468999999999994,63.549,0.0799999999999983,63.339,64.029,balcón,False,False,b,l,Female
p113,a,661.680644107323,1574.3062685716602,2273.3337894724805,68.259,68.449,0.18999999999999773,67.87899999999999,68.449,lucha,False,True,tS,sp,Female
p113,a,649.2302809760454,1574.0594744218772,2155.490961957255,70.005,70.195,0.18999999999999773,69.605,70.195,boca,False,True,k,sp,Female
p113,a,758.5531198263907,1507.4696439908253,2672.537617909133,72.134,72.204,0.06999999999999318,72.134,72.824,hambriento,True,False,s,m,Female
p113,a,792.1527700765698,1623.711351018853,2576.640186131738,85.67,85.74,0.06999999999999318,85.64,86.35,vagoneta,False,False,b,G,Female
p113,a,659.1349060987873,1671.993824205133,2342.325401764625,86.21,86.35,0.14000000000000054,85.64,86.35,vagoneta,False,True,t,sp,Female
p113,a,808.205664804993,1699.919218589863,2643.325552232483,89.958,90.098,0.14000000000000054,89.85799999999999,90.208,las,False,False,l,s,Female
p113,a,821.320852909999,1839.2739441965314,2652.7780539686028,90.618,90.678,0.060000000000002274,90.24799999999999,90.80799999999999,ailas,False,False,l,s,Female
p113,a,802.9793994646768,1768.965326303113,2644.294453503903,95.074,95.14399999999999,0.07000000000000739,94.97399999999999,95.904,balsámico,False,False,b,l,Female
p113,a,820.6676357039267,1672.0662031425436,2266.1892246790835,99.598,99.68799999999999,0.09000000000000341,99.52799999999999,100.258,balcero,False,False,b,l,Female
p113,a,859.7881954087004,1574.3767722805273,2727.583132940095,101.762,101.89200000000001,0.12999999999999545,101.762,102.742,asado,True,False,,s,Female
p113,a,866.6865368936113,1725.3723747048284,2563.039314192184,105.65299999999999,105.823,0.1699999999999875,105.493,106.163,valle,False,False,b,L,Female
p113,a,784.3548387225273,1453.9992131352328,2636.324884572105,107.874,107.97399999999999,0.10000000000000853,107.764,108.544,basura,False,False,b,s,Female
p113,a,784.9275763130562,1787.5113524986261,2815.9222894924706,110.406,110.506,0.09999999999999433,110.366,110.82600000000001,tareas,False,False,t,rf,Female
p113,a,756.6536940336632,1720.7221816702179,2693.774087966325,111.066,111.186,0.12000000000000455,110.82600000000001,111.256,hechas,False,False,tS,s,Female
p113,a,910.0554973516977,1616.5166236709665,2651.273427193846,114.594,114.67399999999999,0.0800000000000125,114.444,115.344,marbete,False,False,m,rf,Female
p113,a,779.6845994888312,1576.1250349357376,2592.130001573886,122.26700000000001,122.34700000000001,0.0799999999999983,122.15700000000001,123.027,vacante,False,False,b,k,Female
p113,a,747.2844574840732,1714.066209970705,2389.702080208237,122.46700000000001,122.587,0.12000000000000455,122.15700000000001,123.027,vacante,False,False,k,n,Female
p113,a,788.3893027278247,1715.236798926426,2517.640030380411,124.26299999999999,124.413,0.14999999999999147,124.133,125.17299999999999,galvano,False,False,G,l,Female
p113,a,901.3627613282576,1580.709122556947,2649.6389896005717,124.663,124.81299999999999,0.15000000000000568,124.133,125.17299999999999,galvano,False,False,b,n,Female
p113,a,815.2253081045874,1656.585160629852,2503.01313305119,126.618,126.74799999999999,0.13000000000000966,126.26799999999999,126.848,comerás,False,False,rf,s,Female
p113,a,889.0722364655447,1667.355523303745,2610.66495654344,126.848,127.05799999999999,0.210000000000008,126.848,127.43799999999999,apio,True,False,s,p,Female
p113,a,807.2959790617326,1840.9156979837112,2722.2571037686785,128.605,128.665,0.060000000000002274,128.575,129.195,vacío,False,False,b,s,Female
p113,a,852.6836557215648,1701.319160017488,2688.1178668169077,132.918,133.018,0.09999999999999433,132.768,133.56799999999998,valija,False,False,b,l,Female
p113,a,838.2505749993775,1527.3453210271937,1988.941497300712,139.017,139.17700000000002,0.1599999999999966,139.017,139.61700000000002,azul,True,False,sp,T,Female
p113,a,819.1152151918706,1490.7192730169463,2585.5784399259865,151.47899999999998,151.579,0.09999999999999433,151.41899999999998,152.149,valiza,False,False,b,l,Female
p113,a,800.7819822450058,1596.1486454693118,2171.5497218404794,151.839,152.149,0.3100000000000023,151.41899999999998,152.149,valiza,False,True,s,sp,Female
p113,a,920.6744815521907,1549.229195738589,1942.4203083257355,153.505,153.645,0.14000000000001478,153.325,154.025,banda,False,False,b,n,Female
p113,a,705.577078007959,1717.383038474807,2662.577149584349,153.795,154.025,0.2300000000000182,153.325,154.025,banda,False,True,d,sp,Female
p113,a,723.5469881307547,1612.1960202947437,2490.5742843145167,155.952,156.122,0.17000000000001592,155.562,156.122,prosa,False,True,s,sp,Female
p113,a,753.0382694617274,1685.1031831438725,2658.04179490478,157.783,157.873,0.09000000000000341,157.713,158.523,salvación,False,False,s,l,Female
p113,a,712.7385305105987,1617.4743846365088,2699.066869712219,157.983,158.083,0.09999999999999433,157.713,158.523,salvación,False,False,b,s,Female
p113,a,812.7342036359418,1544.237456840337,2444.457835326931,170.324,170.454,0.12999999999999545,169.984,170.794,ventaja,False,False,t,x,Female
p113,a,780.9403944001773,1554.5571391921435,2541.174259344917,180.50599999999997,180.59599999999998,0.09000000000000341,180.236,181.21599999999998,velatorio,False,False,l,t,Female
p113,a,843.8967842508107,1634.984685732313,2393.937828928519,186.21200000000002,186.312,0.10000000000002274,186.092,186.71200000000002,charcos,False,False,tS,rf,Female
p113,a,795.1104543946112,1651.2592072830826,2660.084730052463,187.102,187.172,0.06999999999999318,186.74200000000002,187.662,olvidados,False,False,D,D,Female
p113,a,784.3851121051811,1615.1319442535446,2527.2106535172197,188.97400000000002,189.06400000000002,0.09000000000000341,188.69400000000002,189.62400000000002,convalecer,False,False,V,l,Female
p113,a,845.7004089097054,1512.0224813289594,2604.235655588945,190.929,191.019,0.09000000000000341,190.739,191.609,bajeza,False,False,b,x,Female
p113,a,899.2816723620857,1598.7666336835566,2589.233119307757,198.90400000000002,199.024,0.12000000000000455,198.90400000000002,199.75400000000002,alboroto,True,False,sp,l,Female
p113,a,825.4366021087379,1466.2521199031055,2557.1126483375533,204.685,204.865,0.18000000000000682,204.495,205.255,base,False,False,b,s,Female
p113,a,807.7519614823008,1343.6304453662815,1867.284331774434,206.393,206.503,0.10999999999998522,206.313,207.083,naranjas,False,False,n,rf,Female
p113,a,775.1092756286249,1678.8691241482345,2308.3592735114607,206.563,206.653,0.09000000000000341,206.313,207.083,naranjas,False,False,rf,ng,Female
p113,a,754.1065317704465,1729.041786809895,2404.8265514594227,206.843,206.963,0.12000000000000455,206.313,207.083,naranjas,False,False,x,s,Female
p113,a,922.5816557948197,1583.128143033506,2756.816280092495,207.113,207.233,0.12000000000000455,207.113,207.82299999999998,amargas,True,False,sp,m,Female
p113,a,848.0450952539078,1609.5975379464978,2440.010692868503,207.35299999999998,207.463,0.10999999999998522,207.113,207.82299999999998,amargas,False,False,m,rf,Female
p113,a,702.507611968064,1703.8240438861599,2376.9092012529118,207.60299999999998,207.72299999999998,0.12000000000000455,207.113,207.82299999999998,amargas,False,False,G,s,Female
p113,a,781.2658922423003,1531.1839625348239,1980.0855352623407,211.21099999999998,211.321,0.10999999999998522,211.141,211.78099999999998,cabaret,False,False,k,b,Female
p113,a,759.9718559624748,1582.5284980217075,2342.2612535813173,211.40099999999998,211.50099999999998,0.09999999999999433,211.141,211.78099999999998,cabaret,False,False,b,rf,Female
p113,a,803.2515197065777,1822.2044691971241,2533.049016898263,213.097,213.217,0.12000000000000455,212.83700000000002,213.537,payaso,False,False,aI,s,Female
p113,a,845.3038044533968,1547.3408799237238,2400.771496023007,214.72799999999998,214.868,0.13999999999998636,214.578,215.208,vaca,False,False,b,k,Female
p113,a,763.4673535938147,1812.0246010000367,2481.505476821635,215.00799999999998,215.208,0.19999999999998866,214.578,215.208,vaca,False,True,k,sp,Female
