Participant,Vowel,F1 (Hz),F2 (Hz),F3 (Hz),t1_ph,t2_ph,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,Gender
p112,a,695.7909759669969,1139.95328248074,2667.2586210225536,0.82,0.92,0.10000000000000007,0.71,1.14,bajo,False,False,b,x,Male
p112,a,632.046388966921,962.6703375214237,2606.394383659067,4.931,5.001,0.07000000000000027,4.811,5.401,básico,False,False,b,s,Male
p112,a,443.0628851966048,1309.1683970495296,2011.3336399950895,9.556000000000001,9.616,0.0600000000000005,9.436,10.245999999999999,bacterias,False,False,b,k,Male
p112,a,478.5550241010074,1666.1976904533105,2364.429451638522,9.976,10.036,0.05999999999999873,9.436,10.245999999999999,bacterias,False,False,j,s,Male
p112,a,772.6624452299907,1069.585625448027,2767.694552820513,11.604000000000001,11.744000000000002,0.14000000000000054,11.604000000000001,12.104000000000001,árbol,True,False,sp,rf,Male
p112,a,585.3484001847239,1228.0373952920215,2661.984488091103,13.700999999999999,13.741,0.03999999999999915,13.620999999999999,13.850999999999999,las,False,False,l,s,Male
p112,a,670.2027946962593,1274.9637762477714,2512.335538365797,13.850999999999999,13.901,0.04999999999999893,13.850999999999999,14.440999999999999,amigas,True,False,s,m,Male
p112,a,478.6567905559377,1578.3606835980047,2307.3584636113765,14.171,14.220999999999998,0.05000000000000071,13.850999999999999,14.440999999999999,amigas,False,False,G,s,Male
p112,a,656.1557243078843,1020.41867485699,2572.2661373551496,18.165,18.235,0.07000000000000027,18.055,18.545,valor,False,False,b,l,Male
p112,a,591.7839153232245,1303.5648476627046,2618.076381318827,21.773000000000003,21.843000000000004,0.07000000000000027,21.643,22.373,zanahoria,False,False,s,n,Male
p112,a,469.00166640661047,1564.9810230885778,2394.984925882049,22.273000000000003,22.373,0.10000000000000142,21.643,22.373,zanahoria,False,True,j,sp,Male
p112,a,677.1105414995081,1071.8944259428185,2551.680524968659,25.948,26.018,0.07000000000000027,25.848000000000003,26.608,valuación,False,False,b,l,Male
p112,a,537.5494973931462,1129.4154975384579,2427.305336920711,26.158,26.208000000000002,0.049999999999997165,25.848000000000003,26.608,valuación,False,False,w,T,Male
