Filename	Segment label	F1 (Hz)	F2 (Hz)	F3 (Hz)
p112	sil	1349.549294529358	2591.478429257537	3249.7829120515617
p112	b	538.2410473070235	1256.2481872641272	2799.236008637663
p112	a	695.7909759669969	1139.95328248074	2667.2586210225536
p112	x	751.9668605699046	1524.518652002674	2973.220584629001
p112	o	423.620505429537	737.5025574190375	2374.9749209386273
p112	sp	1392.1786776598265	1660.3079455978368	2803.418370865784
p112	T	1267.6325372753936	2290.808238084102	3502.893381080993
p112	o	445.8057087459792	917.2163210409033	2507.7302796726353
p112	m	302.7681751522559	791.8279476374516	2208.328097892873
p112	b	233.70379352944664	735.1582151275301	2243.8381203758063
p112	i	299.4356588481178	2081.124207258276	2566.561621031761
p112	sp	672.3663376012667	1373.4759948093633	2647.1626322841157
p112	b	215.66131876441847	1524.88548588852	2813.8716445362184
p112	a	632.046388966921	962.6703375214237	2606.394383659067
p112	s	519.94631041039	1679.7843490522494	2535.660161545489
p112	i	420.8640731296791	2097.03803396346	2663.6007385946705
p112	k	526.7124945379773	1733.3905283356767	2918.503375177887
p112	o	403.6857809220395	854.0182817884214	2333.1509742915528
p112	sp	880.6303128361333	2127.621511314813	2820.3905418967056
p112	l	248.7313552646777	1432.437141301595	2478.231001154707
p112	i	348.3657318619378	2108.3085844130937	2741.9230743195094
p112	m	299.33420765034435	764.8462347532469	2151.057002719741
p112	i	338.41844683817766	2399.166254529117	2748.318540919679
p112	t	331.80274892846006	1813.8792882355922	2639.434568565471
p112	e	196.8868758107898	1236.156268827064	1900.2422281912272
p112	sp	582.9300709977041	1115.1454954243513	2606.218584902756
p112	b	283.9211669529711	881.9676625058671	2436.0286697599136
p112	a	443.0628851966047	1309.1683970495296	2011.33363999509
p112	k	251.1491935519037	1880.2934753458846	2935.54343032881
p112	t	770.8319468107293	2246.0925831079903	3485.1905007856076
p112	e	431.35490463515214	1776.5938997070286	2203.349970353494
p112	rf	361.0314987403565	1781.514260845393	2328.1732407381774
p112	j	341.7369974577961	2129.4028785224696	3085.739402775364
p112	a	478.5550241010074	1666.1976904533103	2364.429451638522
p112	s	1042.970903458064	1793.57919156426	2819.8820961450015
p112	sp	1287.0249290047261	2119.3083964249586	3336.1242579008103
p112	a	772.6624452299907	1069.585625448027	2767.694552820513
p112	rf	422.07066279820054	1524.1471933797131	2443.482149904128
p112	b	321.03615315611677	830.5879870933923	2102.7903399135666
p112	o	371.02794500433185	757.3895542719631	2075.291126740421
p112	l	319.85314224009915	1052.190492642488	2038.3946148978096
p112	sp	621.477561917684	1746.645136863338	2465.1075863583246
p112	l	249.87243537171506	1037.4784132799182	2372.1003049679757
p112	a	585.348400184724	1228.0373952920215	2661.9844880911023
p112	s	743.607613561644	1758.1977604739175	2452.730942704803
p112	a	670.2027946962593	1274.9637762477714	2512.3355383657968
p112	m	316.5732847412487	1148.965159447947	2332.079532264704
p112	i	364.68852568169063	731.8936044877459	2615.4245447156636
p112	G	339.19135224102337	1997.28270718737	2336.975377621218
p112	a	478.65679055593756	1578.3606835980047	2307.3584636113765
p112	s	1353.151881822102	2261.3807409796177	3753.3051128187194
p112	sp	1224.9634972646945	2012.6190853047192	3290.6401781233876
p112	b	209.91947214459105	1448.349082508165	2862.5530788668107
p112	e	406.3581240120953	2025.4312290483153	2584.8914372563545
p112	s	571.442056933294	1521.2834106615242	2585.007915295046
p112	sp	598.801321437213	1658.6085997300293	2699.4609029636654
