cien	s j e ng
vapor	b a p o rf
libro	l i b rf o
comerás	k o m e rf a+ s
limpio	l i m p j o
zigoto	s i G o t o
vaca	b a k a
lobo	l o b o
hiperbólico	i p e rf b o+ l i k o
vez	b e s
cebolla	s e b o L a
zanahoria	s a n a o rf j a
derbi	d e rf b i
benigno	b e n i G n o
amargas	a m a rf G a s
terminarás	t e rf m i n a rf a+ s
lanas	l a n a s
basura	b a s u rf a
causal	k aU s a l
galvano	G a l b a n o
abanicos	a b a n i k o s
amigas	a m i G a s
brócoli	b rf o+ k o l i
valiza	b a l i s a
pesero	p e s e rf o
jueves	x w e b e s
vacante	b a k a n t e
convalecer	k o ng V a l e s e rf
tareas	t a rf e a s
baliza	b a l i s a
vecino	b e s i n o
albino	a l b i n o
servidumbre	s e rf b i D u m b rf e
control	k o n t rf o l
alto	a l t o
salvación	s a l b a s j o+ ng
límite	l i+ m i t e
vector	b e k t o rf
hervir	e rf b i rf
general	x e n e rf a l
televisión	t e l e b i s j o+ ng
circonio	s i rf k o n j o
los	l o s
carbohidratos	k a rf b o i D rf a t o s
lunes	l u n e s
balsámico	b a l s a+ m i k o
bigote	b i G o t e
dios	d j o s
hablas	a b l a s
aquí	a k i+
señal	s e n~ a l
barometro	b a rf o m e t rf o
cintura	T i n t u rf a
barómetro	b a rf o+ m e t rf o
vanidad	b a n i D a
cero	s e rf o
arbusto	a rf b u s t o
unigénitos	u n i x e+ n i t o s
zona	T o n a
baile	b aI l e
bochornoso	b o tS o rf n o s o
lucha	l u tS a
hotel	o t e l
balcón	b a l k o+ ng
bisco	b i s k o
vagoneta	b a G o n e t a
pulverizar	p u l b e rf i T a rf
alboroto	a l b o rf o t o
vacaciones	b a k a T j o n e s
escavador	e s k a b a D o rf
asado	a s a o
ubicaciones	u b i k a T j o n e s
cabaret	k a b a rf e t
casual	k a s w a l
naranjas	n a rf a ng x a s
valija	b a l i x a
cabarete	k a b a rf e t e
servicio	s e rf b i s j o
besero	b e s e rf o
valor	b a l o rf
vaciar	b a s j a rf
nuestros	n w e s t rf o s
lotería	l o t e rf i+ a
bien	b j e ng
banda	b a n d a
hoy	oI
ves	b e s
águilas	a+ g i l a s
nuestras	n w e s t rf a s
vacío	b a s i+ o
vainilla	b aI n i L a
zombi	T o m b i
zoológico	T o o l o+ x i k o
lógica	l o+ x i k a
árbol	a+ rf b o l
balsero	b a l s e rf o
vandalismo	b a n d a l i z m o
liso	l i s o
ventaja	b e n t a x a
alba	a l b a
música	m u+ s i k a
azul	a T u l
anchas	a n tS a s
pisco	p i s k o
carbono	k a rf b o n o
valuación	b a l w a T j o+ n
vaso	b a s o
las	l a s
hechas	e tS a s
sovacar	s o b a k a rf
encadenado	e ng k a D e n a D o
acabar	a k a b a rf
lujo	l u x o
olvidados	o l b i D a D o s
intervención	i n t e rf b e ng s j o+ ng
piel	p j e l
válido	b a+ l i D o
marbete	m a rf b e t e
afuera	a f w e rf a
base	b a s e
abastecer	a b a s t e s e rf
benino	b e n i n o
polvo	p o l b o
zorro	T o r o
revista	r e b i s t a
porvenir	p o rf b e n i rf
presente	p rf e s e n t e
charcos	tS a rf k o s
abandonar	a b a n d o n a rf
vampiro	b a m p i rf o
brillante	b rf i L a n t e
nivel	n i b e l
vaquera	b a k e rf a
cajas	k a x a s
velatorio	b e l a t o rf j o
enanitos	e n a n i t o s
zepelín	s e p e l i+ ng
longitud	l o n x i t u
bacterias	b a k t e rf j a s
útil	u+ t i l
líquido	l i+ k i D o
obreros	o b rf e rf o s
tus	t u s
excavador	e k s k a b a D o rf
apio	a p j o
boca	b o k a
fósil	f o+ s i l
bóa	b o+ a
bajeza	b a x e T a
amarillas	a m a rf i L a s
convoy	k o m V oI
bajo	b a x o
zinc	T i n k
vaqueta	b a k e t a
payaso	p aI a s o
valle	b a L e
balada	b a l a D a
básico	b a+ s i k o
trabajas	t rf a b a x a s
ceja	s e x a
tos	t o s
prosa	p rf o s a
hambriento	a m b rf j e n t o
literatura	l i t e rf a t u rf a
