headword,pronunciation,Pron
-a,a,a
-aba,ˈ a β a,A β a
-able,ˈ a β l e,A β l e
-aca,ˈ a k a,A k a
-acas,ˈ a k o s,A k o s
-acha,ˈ a t͡ ʃ a,A t͡ ʃ a
-acho,ˈ a t͡ ʃ o,A t͡ ʃ o
-achuela,a ˈ t ʃ w e l a,a t ʃ w E l a
-achuelas,a ˈ t ʃ w e l a s,a t ʃ w E l a s
-achuelo,a ˈ t ʃ w e l o,a t ʃ w E l o
-achuelos,a ˈ t ʃ w e l o s,a t ʃ w E l o s
-aco,ˈ a k o,A k o
-acos,ˈ a k o s,A k o s
-adero,a ˈ ð e ɾ o,a ð E ɾ o
-ado,ˈ a ð o,A ð o
-ador,a ˈ ð o ɾ,a ð O ɾ
-adura,a ˈ ð u ɾ a,a ð U ɾ a
-aje,ˈ a x e,A x e
-ajes,ˈ a x e s,A x e s
-ajo,ˈ a x o,A x o
-al,ˈ a l,A l
-algia,ˈ a l x j a,A l x j a
-alla,ˈ a ʎ a,A ʎ a
-alla,ˈ a ʝ a,A ʝ a
-amiento,a ˈ m j e n t o,a m j E n t o
-anga,ˈ a ŋ g a,A ŋ g a
-angas,ˈ a ŋ g a s,A ŋ g a s
-ango,ˈ a ŋ g o,A ŋ g o
-angos,ˈ a ŋ g o s,A ŋ g o s
-ano,ˈ a n o,A n o
-ante,ˈ a n̪ t e,A n̪ t e
-anza,ˈ a n s a,A n s a
-anza,ˈ a n̪ θ a,A n̪ θ a
-anzas,ˈ a n s a s,A n s a s
-anzas,ˈ a n̪ θ a s,A n̪ θ a s
-ar,ˈ a ɾ,A ɾ
-aracho,a ˈ ɾ a t͡ ʃ o,a ɾ A t͡ ʃ o
-arca,ˈ a ɾ k a,A ɾ k a
-ario,ˈ a ɾ j o,A ɾ j o
-arquía,a ɾ ˈ k i a,a ɾ k I a
-arro,ˈ a r o,A r o
-arros,ˈ a r o s,A r o s
-asa,ˈ a s a,A s a
-asco,ˈ a s k o,A s k o
-asis,ˈ a s i s,A s i s
-atario,a ˈ t a ɾ j o,a t A ɾ j o
-ativa,a ˈ t i β a,a t I β a
-ativo,a ˈ t i β o,a t I β o
-ato,ˈ a t o,A t o
-ava,ˈ a β a,A β a
-avas,ˈ a β a s,A β a s
-avo,ˈ a β o,A β o
-avos,ˈ a β o s,A β o s
-azgo,ˈ a θ ɣ o,A θ ɣ o
-azgo,ˈ a s ɣ o,A s ɣ o
-azo,ˈ a s o,A s o
-azo,ˈ a θ o,A θ o
-azón,a ˈ θ o n,a θ O n
-azón,a ˈ s o n,a s O n
-añera,a ˈ ɲ e ɾ a,a ɲ E ɾ a
-añero,a ˈ ɲ e ɾ o,a ɲ E ɾ o
-año,ˈ a ɲ o,A ɲ o
-baro,ˈ b a ɾ o,b A ɾ o
-bilísimo,β i ˈ l i s i m o,β i l I s i m o
-bio,ˈ b j o,b j O
-ble,β l e,β l e
-cardio,ˈ k a ɾ ð j o,k A ɾ ð j o
-cefalia,s e ˈ f a l j a,s e f A l j a
-cefalia,θ e ˈ f a l j a,θ e f A l j a
-ceta,ˈ θ e t a,θ E t a
-ceta,ˈ s e t a,s E t a
-cete,ˈ s e t e,s E t e
-cete,ˈ θ e t e,θ E t e
-cico,ˈ s i k o,s I k o
-cico,ˈ θ i k o,θ I k o
-cida,ˈ θ i ð a,θ I ð a
-cida,ˈ s i ð a,s I ð a
-cillo,ˈ s i ʎ o,s I ʎ o
-cillo,ˈ θ i ʎ o,θ I ʎ o
-cito,ˈ θ i t o,θ I t o
-cito,ˈ s i t o,s I t o
-ción,ˈ s j o n,s j O n
-ción,ˈ θ j o n,θ j O n
-clastia,ˈ k l a s t j a,k l A s t j a
-cola,ˈ k o l a,k O l a
-cracia,ˈ k ɾ a θ j a,k ɾ A θ j a
-cracia,ˈ k ɾ a s j a,k ɾ A s j a
-cultura,k u l ˈ t u ɾ a,k u l t U ɾ a
-císimo,ˈ θ i s i m o,θ I s i m o
-císimo,ˈ s i s i m o,s I s i m o
-dad,ˈ ð a ð,ð A ð
-dades,ˈ ð a ð e s,ð A ð e s
-deras,ð e ɾ a s,ð e ɾ a s
-dermia,ˈ ð e ɾ m j a,ð E ɾ m j a
-dermo,ˈ ð e ɾ m o,ð E ɾ m o
-dero,ˈ ð e ɾ o,ð E ɾ o
-doncia,ˈ ð o n s j a,ð O n s j a
-dor,ˈ ð o ɾ,ð O ɾ
-dora,ˈ ð o ɾ a,ð O ɾ a
-doras,ˈ ð o ɾ a s,ð O ɾ a s
-dores,ˈ ð o ɾ e s,ð O ɾ e s
-dura,ˈ ð u ɾ a,ð U ɾ a
-duras,ˈ ð u ɾ a s,ð U ɾ a s
-dáctilo,ˈ d a k t i l o,d A k t i l o
-e,e,e
-ear,e ˈ a ɾ,e A ɾ
-ecer,e ˈ s e ɾ,e s E ɾ
-ecer,e ˈ θ e ɾ,e θ E ɾ
-eces,ˈ e s e s,E s e s
-eces,ˈ e θ e s,E θ e s
-ectomía,e k t o ˈ m i a,e k t o m I a
-eda,ˈ e ð a,E ð a
-edad,e ˈ ð a ð,e ð A ð
-edades,e ˈ ð a ð e s,e ð A ð e s
-edero,e ˈ ð e ɾ o,e ð E ɾ o
-edo,ˈ e ð o,E ð o
-edor,e ˈ ð o ɾ,e ð O ɾ
-edura,e ˈ ð u ɾ a,e ð U ɾ a
-ega,ˈ e ɣ a,E ɣ a
-egas,ˈ e ɣ a s,E ɣ a s
-ego,ˈ e ɣ o,E ɣ o
-egos,ˈ e ɣ o s,E ɣ o s
-ejo,ˈ e x o,E x o
-engo,ˈ e ŋ g o,E ŋ g o
-eno,ˈ e n o,E n o
-ense,ˈ e n s e,E n s e
-enta,ˈ e n̪ t a,E n̪ t a
-entas,ˈ e n̪ t a s,E n̪ t a s
-ente,ˈ e n̪ t e,E n̪ t e
-ento,ˈ e n̪ t o,E n̪ t o
-entos,ˈ e n̪ t o s,E n̪ t o s
-er,ˈ e ɾ,E ɾ
-ero,ˈ e ɾ o,E ɾ o
-ería,e ˈ ɾ i a,e ɾ I a
-es,e s,e s
-esco,ˈ e s k o,E s k o
-esis,ˈ e s i s,E s i s
-eta,ˈ e t a,E t a
-ete,ˈ e t e,E t e
-ez,ˈ e θ,E θ
-ez,ˈ e s,E s
-eza,ˈ e θ a,E θ a
-eza,ˈ e s a,E s a
-ezas,ˈ e θ a s,E θ a s
-ezas,ˈ e s a s,E s a s
-eño,ˈ e ɲ o,E ɲ o
-fagia,ˈ f a x j a,f A x j a
-fero,ˈ f e ɾ o,f E ɾ o
-ficar,f i ˈ k a ɾ,f i k A ɾ
-fico,f i k o,f i k o
-filo,ˈ f i l o,f I l o
-fito,f i t o,f i t o
-fobia,ˈ f o β j a,f O β j a
-fobo,f o β o,f o β o
-fono,f o n o,f o n o
-fugo,ˈ f u ɣ o,f U ɣ o
-gono,ɣ o n o,ɣ o n o
-grafo,ɣ ɾ a f o,ɣ ɾ a f o
-grafía,ɣ ɾ a ˈ f i a,ɣ ɾ a f I a
-grama,ˈ ɰ ɾ a m a,ɰ ɾ A m a
-ias,j a s,j a s
-iasis,ˈ j a s i s,j A s i s
-ible,ˈ i β l e,I β l e
-icia,ˈ i s j i a,I s j i a
-icia,ˈ i θ j a,I θ j a
-icias,ˈ i s j i a s,I s j i a s
-icias,ˈ i θ j a s,I θ j a s
-icio,ˈ i θ j o,I θ j o
-icio,ˈ i s j i o,I s j i o
-icios,ˈ i θ j o s,I θ j o s
-icios,ˈ i s j i o s,I s j i o s
-idad,i ˈ ð a ð,i ð A ð
-idades,i ˈ ð a ð e s,i ð A ð e s
-idero,i ˈ ð e ɾ o,i ð E ɾ o
-ido,i d o,i d o
-ido,ˈ i ð o,I ð o
-idor,i ˈ ð o ɾ,i ð O ɾ
-idura,i ˈ ð u ɾ a,i ð U ɾ a
-iega,ˈ j e ɣ a,j E ɣ a
-iegas,ˈ j e ɣ a s,j E ɣ a s
-iego,ˈ j e ɣ o,j E ɣ o
-iegos,ˈ j e ɣ o s,j E ɣ o s
-ienta,ˈ j e n̪ t a,j E n̪ t a
-ientas,ˈ j e n̪ t a s,j E n̪ t a s
-iente,ˈ j e n̪ t e,j E n̪ t e
-iento,ˈ j e n̪ t o,j E n̪ t o
-ientos,ˈ j e n̪ t o s,j E n̪ t o s
-ificar,i f i ˈ k a ɾ,i f i k A ɾ
-ijo,ˈ i x o,I x o
-il,ˈ i l,I l
-iles,ˈ i l e s,I l e s
-ilidad,i l i ˈ ð a ð,i l i ð A ð
-ilidades,i l i ˈ ð a ð e s,i l i ð A ð e s
-illa,ˈ i ʎ a,I ʎ a
-illa,ˈ i ʝ a,I ʝ a
-illo,ˈ i ʝ o,I ʝ o
-illo,ˈ i ʎ o,I ʎ o
-illón,i ˈ ʝ̞ o̞ n,i ʝ̞ O̞ n
-illón,i ˈ ʎ o̞ n,i ʎ O̞ n
-imiento,i ˈ m j e n t o,i m j E n t o
-imos,ˈ i m o s,I m o s
-ina,ˈ i n a,I n a
-inas,ˈ i n a s,I n a s
-ines,ˈ i n e s,I n e s
-ino,ˈ i n o,I n o
-inos,ˈ i n o s,I n o s
-io,j o,j o
-ios,j o s,j o s
-ir,ˈ i ɾ,I ɾ
-isco,ˈ i s k o,I s k o
-ismo,ˈ i s m o,I s m o
-ista,ˈ i s t a,I s t a
-iste,ˈ i s t e,I s t e
-itis,ˈ i t i s,I t i s
-itiva,i ˈ t i β a,i t I β a
-itivo,i ˈ t i β o,i t I β o
-ito,ˈ i t o,I t o
-iva,ˈ i β a,I β a
-ivo,ˈ i β o,I β o
-izar,i ˈ θ a ɾ,i θ A ɾ
-izar,i ˈ s a ɾ,i s A ɾ
-izas,ˈ i θ a s,I θ a s
-izas,ˈ i s a s,I s a s
-izco,ˈ i θ k o,I θ k o
-izco,ˈ i s k o,I s k o
-izo,i θ o,i θ o
-izo,i s o,i s o
-izos,ˈ i θ o s,I θ o s
-izos,ˈ i s o s,I s o s
-latría,l a ˈ t ɾ i a,l a t ɾ I a
-lecto,l e k t o,l e k t o
-lito,ˈ l i t o,l I t o
-logo,l o ɣ o,l o ɣ o
-logía,l o ˈ x i a,l o x I a
-lotodo,l o ˈ t o ð o,l o t O ð o
-mancia,ˈ m a n̪ θ j a,m A n̪ θ j a
-mancia,ˈ m a n s j a,m A n s j a
-mancía,m a n̪ ˈ θ i a,m a n̪ θ I a
-mancía,m a n ˈ s i a,m a n s I a
-mano,m a n o,m a n o
-menta,ˈ m e n̪ t a,m E n̪ t a
-mente,ˈ m e n̪ t e,m E n̪ t e
-mento,ˈ m e n̪ t o,m E n̪ t o
-metra,ˈ m e t ɾ a,m E t ɾ a
-metro,ˈ m e t ɾ o,m E t ɾ o
-metría,m e ˈ t ɾ i a,m e t ɾ I a
-miento,ˈ m j e n̪ t o,m j E n̪ t o
-mos,m o s,m o s
-ndo,n̪ d o,n̪ d o
-nomía,n o ˈ m i a,n o m I a
-nta,n̪ t a,n̪ t a
-nte,ˈ n̪ t e,n̪ t E
-o,o,o
-oca,ˈ o k a,O k a
-oco,ˈ o k o,O k o
-oide,ˈ o j ð e,O j ð e
-oideo,o j ˈ ð e o,o j ð E o
-ol,o l,o l
-oma,ˈ o m a,O m a
-ona,ˈ o n a,O n a
-onimia,o ˈ n i m j a,o n I m j a
-or,ˈ o ɾ,O ɾ
-ora,ˈ o ɾ a,O ɾ a
-oras,ˈ o ɾ a s,O ɾ a s
-ores,ˈ o ɾ e s,O ɾ e s
-orra,ˈ o r a,O r a
-orras,ˈ o r a s,O r a s
-orria,ˈ o r i a,O r i a
-orrias,ˈ o r i a s,O r i a s
-orrio,ˈ o r i o,O r i o
-orrios,ˈ o r i o s,O r i o s
-orro,ˈ o r o,O r o
-orros,ˈ o r o s,O r o s
-osis,ˈ o s i s,O s i s
-oso,ˈ o s o,O s o
-patía,p a ˈ t i a,p a t I a
-plasia,ˈ p l a s i a,p l A s i a
-plastia,ˈ p l a s t j a,p l A s t j a
-r,ɾ,ɾ
-rra,ˈ r a,r A
-rras,ˈ r a s,r A s
-rro,ˈ r o,r O
-rros,ˈ r o s,r O s
-s,s,s
-saurio,ˈ s a u̯ ɾ i̯ o,s A u̯ ɾ i̯ o
-sco,ˈ s k o,s k O
-scopia,ˈ s k o p j a,s k O p j a
-scopio,ˈ s k o p j o,s k O p j o
-sis,s i s,s i s
-stato,ˈ s t a t o,s t A t o
-ste,ˈ s t e,s t E
-tana,ˈ t a n a,t A n a
-tanas,ˈ t a n a s,t A n a s
-tano,ˈ t a n o,t A n o
-tanos,ˈ t a n o s,t A n o s
-tecas,ˈ t e k a s,t E k a s
-tecnia,ˈ t e k n j a,t E k n j a
-teco,ˈ t e k o,t E k o
-terapia,t e ˈ ɾ a p j a,t e ɾ A p j a
-ticas,ˈ t i k a s,t I k a s
-tor,ˈ t o ɾ,t O ɾ
-torias,ˈ t o ɾ j a s,t O ɾ j a s
-torio,ˈ t o ɾ j o,t O ɾ j o
-torios,ˈ t o ɾ j o s,t O ɾ j o s
-trices,ˈ t ɾ i θ e s,t ɾ I θ e s
-trices,ˈ t ɾ i s e s,t ɾ I s e s
-triz,ˈ t ɾ i θ,t ɾ I θ
-triz,ˈ t ɾ i s,t ɾ I s
-trofo,ˈ t ɾ o f o,t ɾ O f o
-uda,ˈ u ð a,U ð a
-udas,ˈ u ð a s,U ð a s
-udo,ˈ u ð o,U ð o
-udos,ˈ u ð o s,U ð o s
-uela,ˈ w e l a,w E l a
-uelo,ˈ w e l o,w E l o
-una,ˈ u n a,U n a
-unas,ˈ u n a s,U n a s
-uno,ˈ u n o,U n o
-unos,ˈ u n o s,U n o s
-ura,ˈ u ɾ a,U ɾ a
-uras,ˈ u ɾ a s,U ɾ a s
-usco,ˈ u s k o,U s k o
-uzco,ˈ u s k o,U s k o
-uzco,ˈ u θ k o,U θ k o
-zoo,ˈ θ o o,θ O o
-ábamos,ˈ a β a m o s,A β a m o s
-ácea,ˈ a s e a,A s e a
-ácea,ˈ a θ e a,A θ e a
-áceas,ˈ a s e a s,A s e a s
-áceas,ˈ a θ e a s,A θ e a s
-áceo,ˈ a θ e o,A θ e o
-áceo,ˈ a s e o,A s e o
-áceos,ˈ a θ e o s,A θ e o s
-áceos,ˈ a s e o s,A s e o s
-é,e,e
-érrimo,ˈ e r i m o,E r i m o
-és,ˈ e s,E s
-í,ˈ i,I
-íamos,ˈ i a m o s,I a m o s
-ífero,ˈ i f e ɾ o,I f e ɾ o
-ín,ˈ i n,I n
-ío,ˈ i o,I o
-íos,ˈ i o s,I o s
-ísima,ˈ i s i m a,I s i m a
-ísimas,ˈ i s i m a s,I s i m a s
-ísimo,ˈ i s i m o,I s i m o
-ísimos,ˈ i s i m o s,I s i m o s
-ó,o,o
-ón,ˈ o n,O n
-ónimo,ˈ o n i m o,O n i m o
-́aca,a k a,a k a
-́acas,a k a s,a k a s
-́aco,a k o,a k o
-́acos,a k o s,a k o s
-́crata,ˈ k ɾ a t a,k ɾ A t a
-́eo,e o,e o
-́fero,ˈ f e ɾ o,f E ɾ o
-́fica,f i k a,f i k a
-́ficas,f i k a s,f i k a s
-́fico,f i k o,f i k o
-́ficos,f i k o s,f i k o s
-́filo,ˈ f i l o,f I l o
-́foba,ˈ f o β a,f O β a
-́fobas,ˈ f o β a s,f O β a s
-́fobo,ˈ f o β o,f O β o
-́fobos,ˈ f o β o s,f O β o s
-́fono,ˈ f o n o,f O n o
-́fuga,ˈ f u ɣ a,f U ɣ a
-́fugas,ˈ f u ɣ a s,f U ɣ a s
-́fugo,ˈ f u ɣ o,f U ɣ o
-́fugos,ˈ f u ɣ o s,f U ɣ o s
-́geno,ˈ x e n o,x E n o
-́gono,ɣ o n o,ɣ o n o
-́grafo,ɣ ɾ a f o,ɣ ɾ a f o
-́icas,i k a s,i k a s
-́ico,i k o,i k o
-́icos,i k o s,i k o s
-́ida,ˈ i ð a,I ð a
-́idas,ˈ i ð a s,I ð a s
-́ido,ˈ i ð o,I ð o
-́idos,ˈ i ð o s,I ð o s
-́il,ˈ i l,I l
-́iles,ˈ i l e s,I l e s
-́logo,l o ɣ o,l o ɣ o
-́mano,m a n o,m a n o
-́metra,ˈ m e t ɾ a,m E t ɾ a
-́metras,ˈ m e t ɾ a s,m E t ɾ a s
-́metro,ˈ m e t ɾ o,m E t ɾ o
-́metros,ˈ m e t ɾ o s,m E t ɾ o s
-́ticas,t i k a s,t i k a s
-́tico,t i k o,t i k o
-́ticos,t i k o s,t i k o s
-́trofo,ˈ t ɾ o f o,t ɾ O f o
-́voro,b o ɾ o,b o ɾ o
A,ˈ a,A
ADN,a ð e ˈ e n e,a ð e E n e
AFI,ˈ a f i,A f i
API,ˈ a p i,A p i
ARN,a ˌ e ɾ e ˈ e n e,a ˌ e ɾ e E n e
ASALE,a ˈ s a l e,a s A l e
ASCII,ˈ a s θ i,A s θ i
Aarón,a ˈ ɾ o n,a ɾ O n
Aba,ˈ a β a,A β a
Abaca,ˈ a β a k a,A β a k a
Abad,a ˈ β a ð,a β A ð
Abadechea,a β a ð e ˈ t ʃ e a,a β a ð e t ʃ E a
Abadezanena,a β a ð e s a ˈ n e n a,a β a ð e s a n E n a
Abadgoitia,a β a ð ˈ ɣ o j t j a,a β a ð ɣ O j t j a
Abadgoitía,a β a ð ɣ o j ˈ t j a,a β a ð ɣ o j t j A
Abadia,a ˈ β a ð j a,a β A ð j a
Abadiano,a β a ˈ ð j a n o,a β a ð j A n o
Abadianobeascoa,a β a ð j a n o β e a s ˈ k o a,a β a ð j a n o β e a s k O a
Abadianoveazcoa,a β a ð j a n o β e a s ˈ k o a,a β a ð j a n o β e a s k O a
Abadie,a β a ˈ ð j e,a β a ð j E
Abadir,a β a ˈ ð i ɾ,a β a ð I ɾ
Abadires,a β a ˈ ð i ɾ e s,a β a ð I ɾ e s
Abadán,a β a ˈ ð a n,a β a ð A n
Abaigar,a β a j ˈ ɣ a ɾ,a β a j ɣ A ɾ
Abaitua,a ˈ β a j t w a,a β A j t w a
Abaiturrioz,a β a j t u ˈ r j o s,a β a j t u r j O s
Abajo,a ˈ β a x o,a β A x o
Abakán,a β a ˈ k a n,a β a k A n
Abal,a ˈ β a l,a β A l
Abala,a ˈ β a l a,a β A l a
Abalabide,a β a l a ˈ β i ð e,a β a l a β I ð e
Abalcisqueta,a β a l s i s ˈ k e t a,a β a l s i s k E t a
Abalcisqueta,a β a l θ i s ˈ k e t a,a β a l θ i s k E t a
Abalde,a ˈ β a l ð e,a β A l ð e
Abalia,a ˈ β a l j a,a β A l j a
Abalibide,a β a l i ˈ β i ð e,a β a l i β I ð e
Abaliz,a β a ˈ l i s,a β a l I s
Aballay,a β a ˈ ʎ a j,a β a ʎ A j
Aballay,a β a ˈ ʝ a j,a β a ʝ A j
Abalos,ˈ a β a l o s,A β a l o s
Abancay,a β̞ a nˠ ˈ k a i̯,a β̞ a nˠ k A i̯
Abando,a ˈ β a n̪ ð o,a β A n̪ ð o
Abango,a ˈ β a n ɣ o,a β A n ɣ o
Abanto,a ˈ β a n̪ t o,a β A n̪ t o
Abanz,a ˈ β a n s,a β A n s
Abanzabalegui,a β a n ˌ θ a β a ˈ l e ɣ i,a β a n ˌ θ a β a l E ɣ i
Abanzabalegui,a β a n ˌ s a β a ˈ l e ɣ i,a β a n ˌ s a β a l E ɣ i
Abanzas,a ˈ β a n θ a s,a β A n θ a s
Abanzas,a ˈ β a n s a s,a β A n s a s
Abara,a ˈ β a ɾ a,a β A ɾ a
Abarain,a β a ˈ ɾ a j n,a β a ɾ A j n
Abarca,a ˈ β a ɾ k a,a β A ɾ k a
Abargues,a ˈ β a ɾ ɣ e s,a β A ɾ ɣ e s
Abaria,a ˈ β a ɾ j a,a β A ɾ j a
Abarisqueta,a β a ɾ i s ˈ k e t a,a β a ɾ i s k E t a
Abariturrioz,a β a ɾ i t u ˈ r j o s,a β a ɾ i t u r j O s
Abarizqueta,a β a ɾ i s ˈ k e t a,a β a ɾ i s k E t a
Abaroa,a β a ˈ ɾ o a,a β a ɾ O a
